"id","year","venue","felix_rating","zhanh_rating","domain","workstream","title","keywords","paper_url","github_url","github_note","demo_url","web_url","zhanh_note","felix_note","hanyu_note","obsidian_target"
"2025-ICASSP-Accompaniment-Prompt-Adherence","2025","ICASSP","","5/5*","MusicEval","Reward","Accompaniment Prompt Adherence: A Measure for Evaluating Music Accompaniment Systems","APA；reference-aware FAD；mismatched anchor","https://arxiv.org/abs/2503.06346","https://github.com/SonyCSLParis/audio-metrics","","","https://pypi.org/project/audio-metrics/","ICASSP metric qualification receipt：timing/pitch/nuisance perturbations + 875 次人工评分；但不是 per-song reward，也没有 policy-attack test。","","","articles/2025-ICASSP-Accompaniment-Prompt-Adherence"
"2025-ISMIR-STAGE-Stemmed-Accompaniment-Generation","2025","ISMIR","","5/5*","MusicGen","Reward","STAGE: Stemmed Accompaniment Generation through Prefix-Based Conditioning","STAGE；prefix conditioning；context token","https://arxiv.org/abs/2504.05690","https://github.com/giorgioskij/stage","","https://giorgioskij.github.io/stage-demo/","https://ismir2025program.ismir.net/poster_269.html","已用 Beat This + `mir_eval` F1 评价 generated stem；证明 plain beat detection/F1 不是新贡献，必须增加 drift、meter ambiguity、robustness 和 human fit。","","","articles/2025-ISMIR-STAGE-Stemmed-Accompaniment-Generation"
"2026-arXiv-Post-Training-Speech-Enhancement-Language-Models-with-Perceptual-Rewards","2026","Interspeech","","5/5*","SpeechEnhance","Reward-n-RL","Post-Training Speech Enhancement Language Models with Perceptual Rewards","composite reward；DNSMOS；UTMOS","https://arxiv.org/abs/2606.21458","","","","","`DNSMOS + (1-WER) + UTMOS` 的 composite reward 范式，并用 human evaluation 验证 composite 优于 single-metric variants；是 music reward receipt 的直接 audio 类比。","","","articles/2026-arXiv-Post-Training-Speech-Enhancement-Language-Models-with-Perceptual-Rewards"
"2026-AAAI-Multi-Metric-Preference-Alignment-Generative-Speech-Restoration","2026","AAAI","","5/5","SpeechEnhance","Reward-n-RL","Multi-Metric Preference Alignment for Generative Speech Restoration","GenSR-Pref；unanimous preference；Pareto pairs","https://ojs.aaai.org/index.php/AAAI/article/view/40775","","","https://gensr-pref.github.io/","https://arxiv.org/abs/2508.17229","","","","articles/2026-AAAI-Multi-Metric-Preference-Alignment-Generative-Speech-Restoration"
"2024-ICML-MusicRL-Aligning-Music-Generation-to-Human-Preferences","2024","ICML","","5/5*","MusicGen","Reward-n-RL","MusicRL: Aligning Music Generation to Human Preferences","MusicRL；MusicLM-RL；quality/adherence reward","https://proceedings.mlr.press/v235/cideron24a.html","","","https://google-research.github.io/seanet/musiclm/rlhf/","","证明 autoregressive music-token LM 可通过 sequence-level reward/RLHF 改善 text adherence 与 audio quality；支持音乐生成 post-training 的可行性。","","","articles/2024-ICML-MusicRL-Aligning-Music-Generation-to-Human-Preferences"
"2026-ICLR-Generative-Adversarial-Post-Training-Music-Reward-Hacking","2026","ICLR","","5/5*","MusicGen","Reward-n-RL","Generative Adversarial Post-Training Mitigates Reward Hacking in Live Human-AI Music Interaction","GAPT；adversarial realism；policy trajectory","https://proceedings.iclr.cc/paper_files/paper/2026/hash/e6731a1d3eddafeb8c94669a1d82fc5d-Abstract-Conference.html","https://github.com/lukewys/realchords-pytorch","","https://realchords-gapt.github.io/","https://openreview.net/forum?id=FXm5U16vxD","音乐 reward hacking 的最直接公开证据：coherence reward 上升但简单和弦重复、diversity collapse，且 KL + rules 不足；要求检查真实 policy trajectories。","","","articles/2026-ICLR-Generative-Adversarial-Post-Training-Music-Reward-Hacking"
"2026-ISMIR-DDSynth-RL-Audio-Synthesizer-Inversion","2026","ISMIR","","5/5*","AudioGen","Reward-n-RL","DDSynth-RL: Audio Synthesizer Inversion via Discrete Diffusion with Reinforcement Learning","DDSynth-RL；discrete diffusion；black-box reward","https://arxiv.org/abs/2608.03032","","","https://ddsynth-rl.github.io/DDSynthRL-Demo/","","`K=8` rendered-audio GRPO 显著改善 OOD NSynth matching，却让 in-domain Dexed 退化；直接展示强推 reward 与 domain-retention trade-off。","","","articles/2026-ISMIR-DDSynth-RL-Audio-Synthesizer-Inversion"
"2026-arXiv-CMI-RewardBench-and-CMI-RM","2026","ICML","","5/5*","MusicEval","Reward","CMI-RewardBench: Evaluating Music Reward Models with Compositional Multimodal Instruction","CMI-RewardBench；CMI-RM；compositional instruction","https://arxiv.org/abs/2603.00610","https://github.com/Haiwen-Xia/CMI-RewardBench","","","https://huggingface.co/datasets/HaiwenXia/cmi-pref","110K pseudo + 4,027 expert preferences、23 generators；是 holistic musicality/alignment 强 baseline，并留下 local temporal structure 与 head disentanglement 缺口。","","","articles/2026-arXiv-CMI-RewardBench-and-CMI-RM"
"2025-arXiv-SongEval-Song-Aesthetics-Evaluation","2025","arXiv","","5/5*","MusicEval","Reward","SongEval: A Benchmark Dataset for Song Aesthetics Evaluation","SongEval；five-axis aesthetics；expert MOS","https://arxiv.org/abs/2505.10793","https://github.com/ASLP-lab/SongEval","","https://aslp-lab.github.io/SongEval/","https://huggingface.co/datasets/ASLP-lab/SongEval","2,399 full songs、140+ h、16 名专业标注者；适合 holistic guardrail/full-song stress test，但 Coherence 不能当 beat ground truth。","","","articles/2025-arXiv-SongEval-Song-Aesthetics-Evaluation"
"2025-ICASSP-Benchmarking-Music-Generation-Models-Metrics-Human-Preference","2025","ICASSP","","5/5*","MusicEval","Reward","Benchmarking Music Generation Models and Metrics via Human Preference Studies","AIME；cross-generator preference；meta-evaluation","https://doi.org/10.1109/ICASSP49660.2025.10887745","","","","https://huggingface.co/datasets/disco-eth/AIME","6,000 clips、12 systems、15,600 human pairs，含 Suno/Udio；适合公开 same-prompt disagreement mining 与 rhythm-focused relabel。","","","articles/2025-ICASSP-Benchmarking-Music-Generation-Models-Metrics-Human-Preference"
